elements,time,sum,technique,num_threads,schedule_kind,chunk_size
"1000000","0.171","1.644725","multiplySeq","0","","0"
"1000000","0.644","1.644725","multiplyOpenmp","1","static","64"
"1000000","0.579","1.644725","multiplyOpenmp","1","static","128"
"1000000","0.577","1.644725","multiplyOpenmp","1","static","256"
"1000000","0.573","1.644725","multiplyOpenmp","1","static","512"
"1000000","0.572","1.644725","multiplyOpenmp","1","static","1024"
"1000000","0.57","1.644725","multiplyOpenmp","1","static","2048"
"1000000","0.568","1.644725","multiplyOpenmp","1","static","4096"
"1000000","0.568","1.644725","multiplyOpenmp","1","static","8192"
"1000000","0.58","1.644725","multiplyOpenmp","1","static","16384"
"1000000","0.569","1.644725","multiplyOpenmp","1","static","32768"
"1000000","0.568","1.644725","multiplyOpenmp","1","static","65536"
"1000000","0.649","1.644725","multiplyOpenmp","1","dynamic","64"
"1000000","0.58","1.644725","multiplyOpenmp","1","dynamic","128"
"1000000","0.573","1.644725","multiplyOpenmp","1","dynamic","256"
"1000000","0.571","1.644725","multiplyOpenmp","1","dynamic","512"
"1000000","0.573","1.644725","multiplyOpenmp","1","dynamic","1024"
"1000000","0.57","1.644725","multiplyOpenmp","1","dynamic","2048"
"1000000","0.571","1.644725","multiplyOpenmp","1","dynamic","4096"
"1000000","0.57","1.644725","multiplyOpenmp","1","dynamic","8192"
"1000000","0.571","1.644725","multiplyOpenmp","1","dynamic","16384"
"1000000","0.572","1.644725","multiplyOpenmp","1","dynamic","32768"
"1000000","0.568","1.644725","multiplyOpenmp","1","dynamic","65536"
"1000000","0.652","1.644725","multiplyOpenmp","1","guided","64"
"1000000","0.577","1.644725","multiplyOpenmp","1","guided","128"
"1000000","0.571","1.644725","multiplyOpenmp","1","guided","256"
"1000000","0.572","1.644725","multiplyOpenmp","1","guided","512"
"1000000","0.569","1.644725","multiplyOpenmp","1","guided","1024"
"1000000","0.57","1.644725","multiplyOpenmp","1","guided","2048"
"1000000","0.568","1.644725","multiplyOpenmp","1","guided","4096"
"1000000","0.568","1.644725","multiplyOpenmp","1","guided","8192"
"1000000","0.567","1.644725","multiplyOpenmp","1","guided","16384"
"1000000","0.579","1.644725","multiplyOpenmp","1","guided","32768"
"1000000","0.567","1.644725","multiplyOpenmp","1","guided","65536"
"1000000","0.651","1.644725","multiplyOpenmp","1","auto","64"
"1000000","0.574","1.644725","multiplyOpenmp","1","auto","128"
"1000000","0.572","1.644725","multiplyOpenmp","1","auto","256"
"1000000","0.572","1.644725","multiplyOpenmp","1","auto","512"
"1000000","0.571","1.644725","multiplyOpenmp","1","auto","1024"
"1000000","0.571","1.644725","multiplyOpenmp","1","auto","2048"
"1000000","0.569","1.644725","multiplyOpenmp","1","auto","4096"
"1000000","0.57","1.644725","multiplyOpenmp","1","auto","8192"
"1000000","0.568","1.644725","multiplyOpenmp","1","auto","16384"
"1000000","0.567","1.644725","multiplyOpenmp","1","auto","32768"
"1000000","0.568","1.644725","multiplyOpenmp","1","auto","65536"
"1000000","0.764","1.644725","multiplyOpenmp","2","static","64"
"1000000","0.63","1.644725","multiplyOpenmp","2","static","128"
"1000000","0.412","1.644725","multiplyOpenmp","2","static","256"
"1000000","0.414","1.644725","multiplyOpenmp","2","static","512"
"1000000","0.389","1.644725","multiplyOpenmp","2","static","1024"
"1000000","0.315","1.644725","multiplyOpenmp","2","static","2048"
"1000000","0.308","1.644725","multiplyOpenmp","2","static","4096"
"1000000","0.308","1.644725","multiplyOpenmp","2","static","8192"
"1000000","0.308","1.644725","multiplyOpenmp","2","static","16384"
"1000000","0.308","1.644725","multiplyOpenmp","2","static","32768"
"1000000","0.323","1.644725","multiplyOpenmp","2","static","65536"
"1000000","0.32","1.644725","multiplyOpenmp","2","dynamic","64"
"1000000","0.306","1.644725","multiplyOpenmp","2","dynamic","128"
"1000000","0.33","1.644725","multiplyOpenmp","2","dynamic","256"
"1000000","0.304","1.644725","multiplyOpenmp","2","dynamic","512"
"1000000","0.31","1.644725","multiplyOpenmp","2","dynamic","1024"
"1000000","0.327","1.644725","multiplyOpenmp","2","dynamic","2048"
"1000000","0.313","1.644725","multiplyOpenmp","2","dynamic","4096"
"1000000","0.307","1.644725","multiplyOpenmp","2","dynamic","8192"
"1000000","0.314","1.644725","multiplyOpenmp","2","dynamic","16384"
"1000000","0.306","1.644725","multiplyOpenmp","2","dynamic","32768"
"1000000","0.321","1.644725","multiplyOpenmp","2","dynamic","65536"
"1000000","0.327","1.644725","multiplyOpenmp","2","guided","64"
"1000000","0.318","1.644725","multiplyOpenmp","2","guided","128"
"1000000","0.313","1.644725","multiplyOpenmp","2","guided","256"
"1000000","0.31","1.644725","multiplyOpenmp","2","guided","512"
"1000000","0.308","1.644725","multiplyOpenmp","2","guided","1024"
"1000000","0.312","1.644725","multiplyOpenmp","2","guided","2048"
"1000000","0.321","1.644725","multiplyOpenmp","2","guided","4096"
"1000000","0.313","1.644725","multiplyOpenmp","2","guided","8192"
"1000000","0.307","1.644725","multiplyOpenmp","2","guided","16384"
"1000000","0.316","1.644725","multiplyOpenmp","2","guided","32768"
"1000000","0.307","1.644725","multiplyOpenmp","2","guided","65536"
"1000000","0.319","1.644725","multiplyOpenmp","2","auto","64"
"1000000","0.306","1.644725","multiplyOpenmp","2","auto","128"
