# Elements 1e+06
[00000.319 ms] [1.644933] multiplySeq
[00000.065 ms] [1.644933] multiplyCuda<<<1024, 32>>>
[00000.051 ms] [1.644933] multiplyCuda<<<1024, 64>>>
[00000.050 ms] [1.644933] multiplyCuda<<<1024, 128>>>
[00000.050 ms] [1.644933] multiplyCuda<<<1024, 256>>>
[00000.050 ms] [1.644933] multiplyCuda<<<1024, 512>>>
[00000.050 ms] [1.644933] multiplyCuda<<<1024, 1024>>>
[00000.051 ms] [1.644933] multiplyCuda<<<2048, 32>>>
[00000.050 ms] [1.644933] multiplyCuda<<<2048, 64>>>
[00000.050 ms] [1.644933] multiplyCuda<<<2048, 128>>>
[00000.050 ms] [1.644933] multiplyCuda<<<2048, 256>>>
[00000.049 ms] [1.644933] multiplyCuda<<<2048, 512>>>
[00000.050 ms] [1.644933] multiplyCuda<<<2048, 1024>>>
[00000.051 ms] [1.644933] multiplyCuda<<<4096, 32>>>
[00000.051 ms] [1.644933] multiplyCuda<<<4096, 64>>>
[00000.049 ms] [1.644933] multiplyCuda<<<4096, 128>>>
[00000.049 ms] [1.644933] multiplyCuda<<<4096, 256>>>
[00000.049 ms] [1.644933] multiplyCuda<<<4096, 512>>>
[00000.050 ms] [1.644933] multiplyCuda<<<4096, 1024>>>
[00000.051 ms] [1.644933] multiplyCuda<<<8192, 32>>>
[00000.049 ms] [1.644933] multiplyCuda<<<8192, 64>>>
[00000.049 ms] [1.644933] multiplyCuda<<<8192, 128>>>
[00000.049 ms] [1.644933] multiplyCuda<<<8192, 256>>>
[00000.051 ms] [1.644933] multiplyCuda<<<8192, 512>>>
[00000.050 ms] [1.644933] multiplyCuda<<<8192, 1024>>>
[00000.052 ms] [1.644933] multiplyCuda<<<16384, 32>>>
[00000.050 ms] [1.644933] multiplyCuda<<<16384, 64>>>
[00000.049 ms] [1.644933] multiplyCuda<<<16384, 128>>>
[00000.049 ms] [1.644933] multiplyCuda<<<16384, 256>>>
[00000.049 ms] [1.644933] multiplyCuda<<<16384, 512>>>
[00000.050 ms] [1.644933] multiplyCuda<<<16384, 1024>>>
[00000.074 ms] [1.644933] multiplyCuda<<<32768, 32>>>
[00000.050 ms] [1.644933] multiplyCuda<<<32768, 64>>>
[00000.049 ms] [1.644933] multiplyCuda<<<32768, 128>>>
[00000.049 ms] [1.644933] multiplyCuda<<<32768, 256>>>
[00000.050 ms] [1.644933] multiplyCuda<<<32768, 512>>>
[00000.049 ms] [1.644933] multiplyCuda<<<32768, 1024>>>

# Elements 1e+07
[00004.039 ms] [1.644934] multiplySeq
[00000.323 ms] [1.644934] multiplyCuda<<<1024, 32>>>
[00000.304 ms] [1.644934] multiplyCuda<<<1024, 64>>>
[00000.308 ms] [1.644934] multiplyCuda<<<1024, 128>>>
[00000.309 ms] [1.644934] multiplyCuda<<<1024, 256>>>
[00000.312 ms] [1.644934] multiplyCuda<<<1024, 512>>>
[00000.309 ms] [1.644934] multiplyCuda<<<1024, 1024>>>
[00000.301 ms] [1.644934] multiplyCuda<<<2048, 32>>>
[00000.302 ms] [1.644934] multiplyCuda<<<2048, 64>>>
[00000.303 ms] [1.644934] multiplyCuda<<<2048, 128>>>
[00000.307 ms] [1.644934] multiplyCuda<<<2048, 256>>>
[00000.304 ms] [1.644934] multiplyCuda<<<2048, 512>>>
[00000.305 ms] [1.644934] multiplyCuda<<<2048, 1024>>>
[00000.307 ms] [1.644934] multiplyCuda<<<4096, 32>>>
[00000.305 ms] [1.644934] multiplyCuda<<<4096, 64>>>
[00000.306 ms] [1.644934] multiplyCuda<<<4096, 128>>>
[00000.305 ms] [1.644934] multiplyCuda<<<4096, 256>>>
[00000.301 ms] [1.644934] multiplyCuda<<<4096, 512>>>
[00000.299 ms] [1.644934] multiplyCuda<<<4096, 1024>>>
[00000.309 ms] [1.644934] multiplyCuda<<<8192, 32>>>
[00000.306 ms] [1.644934] multiplyCuda<<<8192, 64>>>
[00000.305 ms] [1.644934] multiplyCuda<<<8192, 128>>>
[00000.300 ms] [1.644934] multiplyCuda<<<8192, 256>>>
[00000.301 ms] [1.644934] multiplyCuda<<<8192, 512>>>
[00000.301 ms] [1.644934] multiplyCuda<<<8192, 1024>>>
[00000.307 ms] [1.644934] multiplyCuda<<<16384, 32>>>
[00000.304 ms] [1.644934] multiplyCuda<<<16384, 64>>>
[00000.301 ms] [1.644934] multiplyCuda<<<16384, 128>>>
[00000.301 ms] [1.644934] multiplyCuda<<<16384, 256>>>
[00000.301 ms] [1.644934] multiplyCuda<<<16384, 512>>>
[00000.303 ms] [1.644934] multiplyCuda<<<16384, 1024>>>
[00000.309 ms] [1.644934] multiplyCuda<<<32768, 32>>>
[00000.301 ms] [1.644934] multiplyCuda<<<32768, 64>>>
[00000.301 ms] [1.644934] multiplyCuda<<<32768, 128>>>
[00000.300 ms] [1.644934] multiplyCuda<<<32768, 256>>>
[00000.301 ms] [1.644934] multiplyCuda<<<32768, 512>>>
[00000.303 ms] [1.644934] multiplyCuda<<<32768, 1024>>>

# Elements 1e+08
[00058.029 ms] [1.644934] multiplySeq
[00003.085 ms] [1.644934] multiplyCuda<<<1024, 32>>>
[00002.931 ms] [1.644934] multiplyCuda<<<1024, 64>>>
[00002.912 ms] [1.644934] multiplyCuda<<<1024, 128>>>
[00002.915 ms] [1.644934] multiplyCuda<<<1024, 256>>>
[00002.968 ms] [1.644934] multiplyCuda<<<1024, 512>>>
[00002.911 ms] [1.644934] multiplyCuda<<<1024, 1024>>>
[00002.927 ms] [1.644934] multiplyCuda<<<2048, 32>>>
[00002.919 ms] [1.644934] multiplyCuda<<<2048, 64>>>
[00002.925 ms] [1.644934] multiplyCuda<<<2048, 128>>>
[00002.957 ms] [1.644934] multiplyCuda<<<2048, 256>>>
[00002.915 ms] [1.644934] multiplyCuda<<<2048, 512>>>
[00002.879 ms] [1.644934] multiplyCuda<<<2048, 1024>>>
[00002.928 ms] [1.644934] multiplyCuda<<<4096, 32>>>
[00002.924 ms] [1.644934] multiplyCuda<<<4096, 64>>>
[00002.962 ms] [1.644934] multiplyCuda<<<4096, 128>>>
[00002.909 ms] [1.644934] multiplyCuda<<<4096, 256>>>
[00002.882 ms] [1.644934] multiplyCuda<<<4096, 512>>>
[00002.873 ms] [1.644934] multiplyCuda<<<4096, 1024>>>
[00002.977 ms] [1.644934] multiplyCuda<<<8192, 32>>>
[00002.953 ms] [1.644934] multiplyCuda<<<8192, 64>>>
[00002.910 ms] [1.644934] multiplyCuda<<<8192, 128>>>
[00002.882 ms] [1.644934] multiplyCuda<<<8192, 256>>>
[00002.874 ms] [1.644934] multiplyCuda<<<8192, 512>>>
[00002.867 ms] [1.644934] multiplyCuda<<<8192, 1024>>>
[00002.898 ms] [1.644934] multiplyCuda<<<16384, 32>>>
[00002.913 ms] [1.644934] multiplyCuda<<<16384, 64>>>
[00002.885 ms] [1.644934] multiplyCuda<<<16384, 128>>>
[00002.878 ms] [1.644934] multiplyCuda<<<16384, 256>>>
[00002.871 ms] [1.644934] multiplyCuda<<<16384, 512>>>
[00002.911 ms] [1.644934] multiplyCuda<<<16384, 1024>>>
[00002.886 ms] [1.644934] multiplyCuda<<<32768, 32>>>
[00002.885 ms] [1.644934] multiplyCuda<<<32768, 64>>>
[00002.880 ms] [1.644934] multiplyCuda<<<32768, 128>>>
[00002.868 ms] [1.644934] multiplyCuda<<<32768, 256>>>
[00002.904 ms] [1.644934] multiplyCuda<<<32768, 512>>>
[00002.863 ms] [1.644934] multiplyCuda<<<32768, 1024>>>

# Elements 1e+09
[00549.649 ms] [1.644934] multiplySeq
cudaErrorMemoryAllocation: out of memory
  in expression cudaMalloc(&yD, N1)
  at multiplyCuda:34 in src/multiplyCuda.hxx
