ID,Time,API Call ID,Function Name,Demangled Name,Device Name,SOL SM [%],SOL Memory [%]
0,2021-Jul-06 22:42:06,118,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,4.38,49.36
1,2021-Jul-06 22:42:07,130,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.55,65.15
2,2021-Jul-06 22:42:07,142,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,9.14,73.29
3,2021-Jul-06 22:42:07,154,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,12.19,72.69
4,2021-Jul-06 22:42:08,166,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,19.22,73.80
5,2021-Jul-06 22:42:08,178,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,30.23,72.75
6,2021-Jul-06 22:42:08,190,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,5.83,58.35
7,2021-Jul-06 22:42:09,202,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,8.54,69.25
8,2021-Jul-06 22:42:09,214,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,12.13,72.98
9,2021-Jul-06 22:42:09,226,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,19.37,74.60
10,2021-Jul-06 22:42:10,238,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,31.76,76.21
11,2021-Jul-06 22:42:10,250,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,29.55,70.82
12,2021-Jul-06 22:42:10,262,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,7.12,59.32
13,2021-Jul-06 22:42:11,274,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,11.39,69.39
14,2021-Jul-06 22:42:11,286,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,19.59,75.58
15,2021-Jul-06 22:42:11,298,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,31.80,76.86
16,2021-Jul-06 22:42:12,310,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,31.27,74.81
17,2021-Jul-06 22:42:12,322,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,29.01,69.91
18,2021-Jul-06 22:42:12,334,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,8.60,53.69
19,2021-Jul-06 22:42:13,346,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,14.22,57.06
